व्यवसाय,नर,मादी
फिजीशियन,माझ्याकडे आहे,ती
डॉक्टर,आहेत,मुलगी
कामगार,त्याचे,त्याचे
संरक्षक,त्याला,तिला
रोखपाल,वडील,आई
मालक,माणूस,स्त्री
ऑपरेटर,मुलगा,मुलगी
बारटेंडर,स्वतः,स्वतः
मेकॅनिक,नर,मादी
सर्वेक्षण करणारा,भाऊ,बहीण
भौतिकशास्त्रज्ञ,मुलगे,मुली
यंत्र,वडील,आई
आर्किटेक्ट,पुरुष,महिला
छायाचित्रकार,मुले,मुली
शिक्षक,वाईट गोष्टी,महिला
ऑप्टोमेट्रिस्ट,भाऊ,बहिणी
गिरणी,काका,काकू
व्यापारी,काका,काकू
बाहेर जा,पुतणे,भाची
असबाबवाला,पुतण्या,तुला माहित आहे
बेकर,,
स्मिथ,,
व्यवस्थापक,,
सांख्यिकीविज्ञानी,,
द्वारपाल,,
धावपटू,,
बेलीफ,,
नर्तक,,
पोषणतज्ञ,,
ब्रोकर,,
टाइपसेटर,,
आहारतज्ज्ञ,,
लेखक,,
कारकुनी,,
करमणूक करणारा,,
अर्थशास्त्रज्ञ,,
बॉयलरमेकर,,
कॅबिनेटमेकर,,
अधिकृत,,
ड्रायव्हर,,
परिचारिका,,
कुली,,
बुकबाइंडर,,
रसायनशास्त्रज्ञ,,
निरीक्षक,,
सचिव,,
लिपिक,,
थेरपिस्ट,,
प्राध्यापक,,
तंत्रज्ञ,,
विक्रेता,,
वकील,,
शेतकरी,,
पशुवैद्य,,
इलेक्ट्रिशियन,,
परिचर,,
चौकीदार,,
नाविक,,
विणकर,,
संगीतकार,,
प्रतीक्षा,,
भूगर्भशास्त्रज्ञ,,
सेटर,,
मानसशास्त्रज्ञ,,
लाकूडझॅक,,
डिझाइनर,,
शिक्षक,,
फार्मासिस्ट,,
प्लास्टरर,,
न्यायाधीश,,
साधन निर्माता,,
शेरीफ,,
रिलीज होईल,,
सर्जन,,
वैज्ञानिक,,
ज्वेलर,,
संगीतकार,,
अभियंता,,
सुतार,,
कलाकार,,
सैनिक,,
लेखापाल,,
पाद्री,,
चित्रकार,,
जोडीदार,,
प्लंबर,,
गवंडी,,
शिजवावे,,
मसुदा,,
वृत्तपत्रकार,,
पायलट,,
कायरोप्रॅक्टर,,
प्रशासक,,
दंतचिकित्सक,,
पोलिस,,
माळी,,
ड्रायव्हर,,
घरकाम करणारा,,
रक्षक,,
वेल्डर,,
