berop,manlik,froulik
dokter,hy,sy
dokter,soan,dochter
arbeider,syn,har
konservatorist,him,har
kassier,heit,mem
eigener,man,frou
operator,jonge,fanke
barman,himsels,harsels
monteur,manlik,froulik
ûndersiker,broer,suster
natuerkundige,soannen,dochters
machinist,heiten,memmen
arsjitekt,manlju,froulju
fotograaf,jonges,famkes
ûnderwizer,manlju,wyfkes
optometrist,bruorren,susters
millwright,omke,muoike
hanneler,omkes,tanten
ferkeap,omkesizzer,omkesizzer
upholsterer,neven,nichten
bakker,,
smid,,
behearder,,
statistician,,
doarhâlder,,
atleet,,
doarwarder,,
dûnser,,
fiedingsgenoat,,
makelder,,
typesetter,,
dieetkundige,,
skriuwer,,
griffier,,
entertainer,,
ekonoom,,
boilermaker,,
meubelmakker,,
offisjeel,,
dirigint,,
ferpleechkundige,,
portier,,
boekbinder,,
skiekundige,,
ynspekteur,,
sekretaris,,
geastlik,,
terapeut,,
professor,,
technikus,,
ferkeaper,,
advokaat,,
boer,,
feedokter,,
elektricien,,
begelieder,,
fersoarger,,
seeman,,
wever,,
muzikant,,
wachtstaff,,
geolooch,,
setter,,
psycholooch,,
houthakker,,
ûntwerper,,
ynstrukteur,,
apteker,,
gipster,,
rjochter,,
arkmakker,,
sheriff,,
bibliotekaresse,,
sjirurch,,
wittenskipsman,,
juwelier,,
gearstaller,,
yngenieur,,
timmerman,,
artyst,,
soldaat,,
akkountant,,
geastlikheid,,
skilder,,
skuonmakker,,
leadjitter,,
murker,,
kok,,
tekener,,
krante,,
piloat,,
chiropractor,,
bestjoerder,,
toskedokter,,
Plysje,,
túnker,,
sjauffeur,,
húshâldster,,
beskermje,,
welder,,
