dreuchd,fireann,boireann
lighiche,e,i
dotair,Mac,nighean
obraiche,aige,ise
neach-glèidhteachais,ris,rithe
airgeadair,athair,màthair
sealbhadair,dhuine,boireannach
ghnìomhaiche,balach,nighean
bartender,e fhèin,i fhèin
meacanaig,fireann,boireann
neach-tomhais,bràthair,piuthar
fiosaig,mhic,nigheanan
machinist,athraichean,màthraichean
ailtire,fhir,boireannaich
dealbhadair,balaich,nigheanan
tidsear,fireann,boireann
neach-tomhais-sùla,bràithrean,peathraichean
muileann,uncail,antaidh
neach-ciùird,bràithrean,peathraichean
reic,mac peathar,nighean-peathar
upholsterer,mic a pheathar,neachdan
bèicear,,
gobha,,
manaidsear,,
neach-staitistig,,
fear-dorais,,
lùth-chleasaiche,,
bàillidh,,
dannsair,,
neach-beathachaidh,,
broker,,
typeetter,,
dietitian,,
ùghdar,,
clèireach,,
fèisteas,,
eaconamaiche,,
boilermaker,,
cabinetmaker,,
oifigeil,,
stiùiriche,,
banaltram,,
portair,,
inneal-ceangail,,
ceimigear,,
neach-sgrùdaidh,,
rùnaire,,
clèireach,,
neach-leigheis,,
ollamh,,
teicneolaiche,,
neach-reic,,
neach-lagh,,
tuathanach,,
lighiche-sprèidh,,
dealanach,,
neach-frithealaidh,,
dorsair,,
seòladair,,
breabadair,,
ceòladair,,
waitstaff,,
geòlaiche,,
socraiche,,
eòlaiche-inntinn,,
lumberjack,,
dealbhaiche,,
neach-teagaisg,,
cungadair,,
plàstair,,
britheamh,,
inneal-inneal,,
siorram,,
leabharlannaiche,,
lannsair,,
neach-saidheans,,
seudair,,
compositor,,
innleadair,,
saoir,,
neach-ealain,,
saighdear,,
cunntasair,,
clèirich,,
peantair,,
greusaiche,,
plumair,,
clachair,,
bruich,,
neach-dealbhaidh,,
neach-naidheachd,,
pìleat,,
chiropractor,,
rianadair,,
fiaclair,,
Poileas,,
gàirnealair,,
draibhear,,
bean-an-taighe,,
geàrd,,
welder,,
