پيشو,نر,عورت
طبيب,هن چيو,هوء
ڊاڪٽر,پٽ,ڌيء
مزدور,هن جي,هن جي
قدامت پسند,هن چيو,هن چيو
ڪيش,پيء,ماء
وطن واپاري,انسان,عورت
آپريٽر,ڇوڪرو,ڇوڪري
بارٽيندڙ,پاڻ کي,پاڻ کي
مستري,نر,عورت
سروور,ڀاء,ڀيڻ
جسماني,پٽن,ڌيئرون
مشين,پيء,مائر
معمار,ماڻهون,عورتن
فوٽو گرافر,ڇوڪرو,ڇوڪريون
استاد,نر,عورتن کي
optometrist,ڀائر,ڀينر
ملڪي,چاچو,چاچي
تجارتي,چاڙهيو,ٻيڙيون
سيلز,ڀائٽيو,بيٺل
گهمڻ وارو,ڀائٽيو,ٻيلو
بيڪار,,
مرڪي,,
مينيجر,,
رياضتي پرست,,
ڪمزور,,
اداڪار,,
ضمانت,,
ناچ نگاري,,
غذائيت,,
بروڪ,,
قسمت,,
آئيٿنيش,,
ليکڪ,,
کلچر,,
تفريح,,
اقتصاديات,,
بوٽي ڪرائيندڙ,,
cabinetmaker,,
سرڪاري,,
ڪوڊيندڙ,,
نرس,,
ڪنٽر,,
ڪتاب جو فروغ,,
معزز,,
معائنو ڪندڙ,,
سيڪريٽري,,
ڪليلڪ,,
ماهر,,
پروفيسر,,
ٽيڪنيڪ,,
وڪرو ڪندڙ,,
وڪيل,,
هاريء جو,,
جانورن جو ماھر,,
برقي,,
جاگيردار,,
ميٽرڪ,,
ملاح,,
ڳاڙهو,,
موسيقي,,
انتظار ڪندا,,
جيولوجسٽ,,
سيٽر,,
نفسياتيات,,
لمبرج,,
ڊزائينر,,
سکيا ڏيندڙ,,
دواسازي,,
پلستر,,
جج,,
اوزار ساز ڪندڙ,,
شفيف,,
لائبريرين,,
سرجن,,
سائنسدان,,
ڀريل,,
سازش,,
انجينئر,,
هاري,,
فنڪار,,
سپاهي,,
اڪاؤنٽ,,
پادري,,
سورٽ,,
شموڪار,,
پلمبر,,
ميس,,
کائڻ,,
دستخط,,
اخبارن جو,,
پائيٽ,,
ڪترائيٽر,,
منتظم,,
ڏندن جو ڊاڪٽر,,
پوليس,,
باغبان,,
ڊرائيور,,
گهرگير,,
سنڀاليندڙ,,
هڻڻ,,
