poklic,moški,samica
zdravnik,on,ona
zdravnik,sin,hči
delavka,njegovo,njen
konservatorka,njega,njo
blagajnik,oče,mati
lastnik,človek,ženska
operater,fant,dekle
barmen,sebe,sama
mehanik,moški,samica
geodet,brat,sestra
fizik,sinovi,hčere
mašinist,očetje,matere
arhitekt,moški,ženske
fotograf,fantje,dekleta
učitelj,samci,samice
optometrist,bratje,sestre
milwright,stric,teta
trgovec,strici,tete
prodaja,nečak,nečakinja
oblazinjenje,nečaki,nečakinje
pek,,
kovač,,
upravnik,,
statistik,,
vratar,,
športnik,,
sodni izvršitelj,,
plesalka,,
nutricionistka,,
posrednik,,
tipalnica,,
dietetik,,
avtor,,
uradnik,,
zabavljač,,
ekonomist,,
kotel,,
izdelovalec kabineta,,
uradni,,
dirigent,,
medicinska sestra,,
portir,,
knjigoveznica,,
kemik,,
inšpektor,,
tajnik,,
klerikalni,,
terapevt,,
profesor,,
tehnik,,
prodajalec,,
odvetnik,,
kmet,,
veterinar,,
električar,,
spremljevalka,,
hišnik,,
mornar,,
tkalca,,
glasbenik,,
natakarica,,
geolog,,
seter,,
psiholog,,
drvarnica,,
oblikovalec,,
inštruktor,,
farmacevt,,
ometavec,,
sodnik,,
orodjar,,
šerif,,
knjižničarka,,
kirurg,,
znanstvenik,,
draguljar,,
skladatelj,,
inženir,,
mizar,,
umetnik,,
vojak,,
računovodja,,
duhovščina,,
slikar,,
čevljar,,
vodovodar,,
zidar,,
kuhati,,
pripravljavec mnenja,,
časopisni časopis,,
pilota,,
kiropraktik,,
skrbnik,,
zobozdravnik,,
policija,,
vrtnar,,
voznik,,
gospodinja,,
stražar,,
varilec,,
