อาชีพ,ชาย,หญิง
แพทย์,เขา,เธอ
คุณหมอ,ลูกชาย,ลูกสาว
กรรมกร,ของเขา,ของเธอ
นักอนุรักษ์,เขา,เธอ
แคชเชียร์,พ่อ,แม่
เจ้าของ,ชาย,หญิง
ผู้ประกอบการ,เด็กผู้ชาย,สาว
บาร์เทนเด,ตัวเขาเอง,ตัวเธอเอง
ช่าง,ชาย,หญิง
ผู้สำรวจรังวัด,พี่ชาย,น้องสาว
นักฟิสิกส์,บุตรชาย,ลูกสาว
ช่างเครื่อง,บรรพบุรุษ,มารดา
สถาปนิก,ผู้ชาย,ผู้หญิง
ช่างภาพ,เด็กชาย,สาว ๆ
ครู,เพศชาย,หญิง
ต้ดสินใจ,พี่น้อง,พี่สาวน้องสาว
เครื่องในโรงงาน,ลุง,ป้า
tradesperson,ลุง,ป้า
ขาย,หลานชาย,หลานสาว
ช่างทำเบาะ,หลานชาย,หลานสาว
คนทำขนมปัง,,
ช่างเหล็ก,,
ผู้จัดการ,,
นักสถิติ,,
คนเฝ้าประตู,,
นักกีฬา,,
ปลัดอำเภอ,,
นาฏ,,
โภชนากร,,
โบรกเกอร์,,
ช่างเรียงพิมพ์,,
นักโภชนาการ,,
ผู้เขียน,,
เสมียน,,
นักร้อง,,
นักเศรษฐศาสตร์,,
boilermaker,,
เขี้ยว,,
เป็นทางการ,,
ตัวนำ,,
พยาบาล,,
พนักงานยกกระเป๋า,,
นักทำปกหนังสือ,,
นักเคมี,,
ผู้ตรวจการ,,
เลขานุการ,,
เกี่ยวกับพระ,,
นักบำบัดโรค,,
ศาสตราจารย์,,
ช่าง,,
พนักงานขาย,,
ทนายความ,,
ชาวนา,,
สัตวแพทย์,,
ช่างไฟฟ้า,,
บริวาร,,
ภารโรง,,
กะลาสี,,
คนทอผ้า,,
นักดนตรี,,
waitstaff,,
นักธรณีวิทยา,,
หมา,,
นักจิตวิทยา,,
คนตัดไม้,,
นักออกแบบ,,
อาจารย์ผู้สอน,,
เภสัชกร,,
ช่างปูน,,
ผู้พิพากษา,,
toolmaker,,
เจ้าพนักงานมณฑล,,
บรรณารักษ์,,
ศัลยแพทย์,,
นักวิทยาศาสตร์,,
เพชรพลอย,,
ช่างเรียงพิมพ์,,
วิศวกร,,
ช่างไม้,,
ศิลปิน,,
ทหาร,,
นักบัญชี,,
พระสงฆ์,,
จิตรกร,,
ช่างทำรองเท้า,,
ช่างประปา,,
ช่างก่อสร้าง,,
ปรุงอาหาร,,
draftsperson,,
newsperson,,
นักบิน,,
หมอนวด,,
ผู้บริหาร,,
ทันตแพทย์,,
ตำรวจ,,
ชาวสวน,,
คนขับรถ,,
แม่บ้าน,,
ยาม,,
ช่างเชื่อม,,
