قبضہ,مرد,عورت
معالج,وہ,وہ
ڈاکٹر,بیٹا,بیٹی
مزدور,اس کی,اس
قدامت پسند,اسے,اسے
کیشیئر,باپ,ماں
پروپرائٹر,آدمی,عورت
آپریٹر,لڑکا,لڑکی
بارٹیںڈر,خود,خود
مکینک,مرد,عورت
سروےر,بھائی,بہن
طبیعیات,بیٹے,بیٹیاں
مشینی,باپ,ماؤں
معمار,مرد,خواتین
فوٹو گرافر,لڑکے,لڑکیاں
استاد,نر,خواتین
optometrist,بھائی,بہنیں
چکی,چچا,خالہ
تجارت کنندہ,ماموں,آنٹی
فروخت,بھتیجے,بھتیجی
upholsterer,بھتیجے,بھانجی
بیکر,,
سمتھ,,
مینیجر,,
اعدادوشمار,,
دربان,,
کھلاڑی,,
بیلف,,
رقاصہ,,
غذائیت پسند,,
بروکر,,
ٹائپ سیٹر,,
غذا ماہر,,
مصنف,,
کلرک,,
تفریح ​​کنندہ,,
ماہر معاشیات,,
بوائلر بنانے والا,,
کابینہ ساز,,
سرکاری,,
موصل,,
نرس,,
پورٹر,,
bookbinder,,
کیمسٹ,,
انسپکٹر,,
سیکرٹری,,
مولوی,,
تھراپسٹ,,
پروفیسر,,
ٹیکنیشن,,
فروخت کار,,
وکیل,,
کسان,,
جانوروں سے متعلق,,
الیکٹریشن,,
حاضر,,
چوکیدار,,
نااخت,,
ویور,,
موسیقار,,
ویٹ اسٹاف,,
ماہر ارضیات,,
سیٹٹر,,
ماہر نفسیات,,
لمبرجیک,,
ڈیزائنر,,
انسٹرکٹر,,
فارماسسٹ,,
پلسٹر,,
جج,,
ٹول میکر,,
شیرف,,
لائبریرین,,
سرجن,,
سائنسدان,,
زیور,,
کمپوزر,,
انجینئر,,
بڑھئی,,
آرٹسٹ,,
سپاہی,,
اکاؤنٹنٹ,,
پادری,,
پینٹر,,
جوتا بنانے والا,,
پلمبر,,
مستری,,
کھانا پکانا,,
ڈرافٹ پرسن,,
نیوزپرسن,,
پائلٹ,,
chiropractor,,
ایڈمنسٹریٹر,,
دانتوں کا ڈاکٹر,,
پولیس,,
باغبان,,
ڈرائیور,,
نوکرانی,,
گارڈ,,
ویلڈر,,
