galwedigaeth,gwryw,benyw
meddyg,ef,hi
meddyg,mab,merch
labrwr,ei,hers
cadwraethwr,fe,hi
ariannwr,tad,mam
perchennog,dyn,fenyw
gweithredwr,bachgen,merch
bartender,ei hun,ei hun
mecanig,gwryw,benyw
syrfëwr,brawd,chwaer
ffisegydd,meibion,merched
peiriannydd,tadau,mamau
pensaer,dynion,menywod
ffotograffydd,bechgyn,merched
athro,gwrywod,benywod
optometrydd,frodyr,chwiorydd
melinydd,ewythr,modryb
crefftwr,ewythrod,modrybedd
gwerthiannau,nai,nith
clustogwr,neiaint,nithoedd
pobydd,,
gof,,
rheolwr,,
ystadegydd,,
drws,,
athletwr,,
beili,,
dawnsiwr,,
maethegydd,,
brocer,,
cysodwr,,
dietegydd,,
awdur,,
clerc,,
diddanwr,,
economegydd,,
boilermaker,,
cabinetmaker,,
swyddogol,,
arweinydd,,
nyrs,,
porthor,,
rhwymwr llyfrau,,
fferyllydd,,
arolygydd,,
ysgrifennydd,,
clerigol,,
therapydd,,
athro,,
technegydd,,
gwerthwr,,
cyfreithiwr,,
ffermwr,,
milfeddyg,,
trydanwr,,
cynorthwyydd,,
porthor,,
morwr,,
gwehydd,,
cerddor,,
waitstaff,,
daearegwr,,
setter,,
seicolegydd,,
lumberjack,,
dylunydd,,
hyfforddwr,,
fferyllydd,,
plastrwr,,
barnwr,,
gwneuthurwr offer,,
siryf,,
llyfrgellydd,,
llawfeddyg,,
gwyddonydd,,
gemydd,,
cyfansoddwr,,
peiriannydd,,
saer,,
arlunydd,,
milwr,,
cyfrifydd,,
clerigwyr,,
paentiwr,,
crydd,,
plymwr,,
saer maen,,
coginio,,
drafftiwr,,
newyddiadurwr,,
peilot,,
ceiropractydd,,
gweinyddwr,,
deintydd,,
heddlu,,
garddwr,,
gyrrwr,,
cadw tŷ,,
gwarchod,,
weldiwr,,
