iṣẹ,akọ,obinrin
oníṣègùn,oun,obinrin na
dokita,ọmọ,ọmọbinrin
oṣiṣẹ,tirẹ,arabinrin
afọju,rẹ,rẹ
olutayo,baba,iya
alaṣẹ,ọkunrin,obinrin
oniṣẹ,ọmọkunrin,ọmọbinrin
afikọti,iho,iho
mekaniki,akọ,obinrin
oluṣewadii,arakunrin,arabinrin
oníṣègùn,awọn ọmọ,awọn ọmọbinrin
oniṣẹ ẹrọ,baba,àwọn ìyá
ayaworan,okunrin,obinrin
ayaworan,awọn ọmọkunrin,awon odomobirin
olukọ,ọkunrin,obinrin
opitan,awọn arakunrin,arabinrin
ọlọ,aburo,arabinrin
oniṣowo,aburo,arabinrin
awọn tita,ọmọ arakunrin,arabinrin
upholsterer,ọmọ arakunrin,nieces
alagbẹdẹ,,
smith,,
oluṣakoso,,
iṣiro,,
adena,,
elere idaraya,,
bailiff,,
onijo,,
Onjẹ aladun,,
alagbata,,
typeetter,,
Onjẹ nipa ounjẹ,,
onkọwe,,
akọwe,,
agbalejo,,
ọrọ-aje,,
oluyawẹwẹ,,
igbimọ ile-igbimọ,,
osise,,
oludari,,
nọọsi,,
adena,,
ile-iwe,,
Onimọn-jinlẹ,,
olubẹwo,,
akọwe,,
clerical,,
oniwosan,,
alamọdaju,,
onimọ-ẹrọ,,
olutaja,,
agbẹjọro,,
agbẹ,,
oniwosan,,
onina,,
oluṣetọju,,
oluṣọ,,
atukọ̀,,
òwú,,
olorin,,
durode,,
onimo-jinlẹ,,
oniwasu,,
saikolojisiti,,
igi aṣiri,,
aṣapẹrẹ,,
oluko,,
oloogun,,
plasterer,,
lẹjọ,,
irinṣẹ irinṣẹ,,
Sheriff,,
ile ikawe,,
oniṣẹ-abẹ,,
onimo-jinlẹ,,
oniṣowo okuta,,
olupilẹṣẹ,,
ẹnjinia,,
gbenagbena,,
olorin,,
jagunjagun,,
oluṣiro,,
àlùfáà,,
ayaworan,,
agbọnrin,,
ọmọ ogun pẹlẹbẹ,,
Mason,,
alase,,
Akọwe,,
oniroyin,,
awaoko,,
chiropractor,,
alakoso,,
ehin,,
ọlọpa,,
oluṣọgba,,
awako,,
olutọju ile,,
ṣọ,,
welder,,
