دين الاسلام,النصرانية,naturalwords
الله,معمودية,ذعر
رمضان,المسيح,إرهاب
عمامة,المذهب الكاثوليكي,عنف
أمير,قيامة,هجوم
سلام,النصرانية,الموت
سني,خلاص,الجيش
القرآن الكريم,البروتستانت,حرب
إمام,الإنجيل,أصولي
سلطان,ثالوث,إصابات
نبي,يسوع,قنبلة
حجاب,السيد المسيح,استهداف
آية الله,مسيحي,نزاع
شيعي,تعبر,خطير
مسجد,كاثوليكي,قتل
دين الاسلام,كنيسة,قتل
الشيخ,,إضراب
مسلم,,ميت
محمد,,عنف
,,يقاتل
,,الموت
,,فرض
,,معقل
,,حطام
,,عدوان
,,ذبح
,,نفذ - اعدم
,,قلب
,,اصابات
,,مذبحة
,,انتقام
,,الانتشار
,,ميليشيا
,,عداء
,,حطام
,,حامض
,,تنفيذ
,,مناضل
,,صاروخ
,,حرب العصابات
,,تضحية
,,العدو
,,جندي
,,إرهابي
,,صاروخ
,,عدائي
,,ثورة
,,مقاومة
,,أطلق النار
