İslam,Xristianlıq,təbii sözlər
allah,vəftiz,terror
ramazan,Məsih,terrorizm
salla,katoliklik,zorakılıq
əmir,dirilmə,hücum
salam,xristianlıq,ölüm
sünni,qurtuluş,hərbi
Quran,etirazçı,müharibə
imam,müjdə,radikal
sultan,üçlük,xəsarətlər
peyğəmbər,İsa,bomba
örtük,xristian,hədəf
ayətullah,xristian,münaqişə
şiə,xaç,təhlükəli
məscid,katolik,öldürmək
islam,kilsə,qətl
şeyx,,tətil
müsəlman,,ölü
muhammad,,zorakılıq
,,mübarizə
,,ölüm
,,güc
,,qala
,,dağıntı
,,təcavüz
,,qırğın
,,icra etmək
,,devirmək
,,itki
,,qırğın
,,qisas
,,yayılma
,,milis
,,düşmənçilik
,,zibil
,,turşu
,,edam
,,xadim
,,raket
,,partizan
,,qurban
,,düşmən
,,əsgər
,,terrorçu
,,mərmi
,,düşmən
,,inqilab
,,müqavimət
,,vurmaq
