ইসলাম,খ্রীষ্টধর্ম,naturalwords
আল্লাহ,বাপ্তিস্ম,সন্ত্রাস
রমজান,যীশুখ্রীষ্ট,সন্ত্রাসবাদ
পাগড়ি,ক্যাথলিসিজ্ম,হিংস্রতা
আমির,পুনরুত্থান,আক্রমণ
সালাম,খ্রীষ্টধর্ম,মরণ
সুন্নি,উদ্ধার,সামরিক
কোরান,আপত্তিকারী,যুদ্ধ
এমাম,গসপেল,ভিত্তিগত
সুলতান,ত্রিত্ব,আহত
নবী,যীশু,বোমা
ঘোমটা,খ্রীষ্ট,লক্ষ্য
আয়াতুল্লাহ,খ্রীষ্টান,দ্বন্দ্ব
শিয়া,ক্রস,বিপজ্জনক
মসজিদ,বিশ্বজনীন,হত্যা
ইসলাম,গির্জা,হত্যা
পরিবার প্রধান,,ধর্মঘট
মুসলিম,,মৃত
মুহাম্মদ,,হিংস্রতা
,,যুদ্ধ
,,মরণ
,,বল
,,কেল্লা
,,ধ্বংসাবশেষ
,,আক্রমণ
,,বধ
,,এক্সিকিউট
,,উৎখাত
,,হতাহতের
,,হত্যাকাণ্ড
,,প্রতিশোধ
,,বিস্তার
,,সৈন্যবাহিনী
,,শত্রুতা
,,ধ্বংসাবশেষ
,,অ্যাসিড
,,ফাঁসি
,,যুদ্ধরত
,,রকেট
,,গেরিলা
,,বলিদান
,,শত্রু
,,সৈনিক
,,সন্ত্রাসবাদী
,,ক্ষেপণাস্ত্র
,,প্রতিকূল
,,বিপ্লব
,,সহ্য করার ক্ষমতা
,,অঙ্কুর
