ислям,християнство,naturalwords
Аллах,кръщение,терор
Рамазан,Месия,тероризъм
тюрбан,католицизъм,насилие
емир,възкресение,атака
селям,християнство,смърт
сунити,спасение,военен
Коран,протестант,война
Имамът,евангелие,радикален
султан,триединство,наранявания
пророк,Исус,бомба
воал,Христос,цел
Аятолах,Кристиян,конфликт
шиитска,кръст,опасно
джамия,католически,убийство
ислям,църква,убийство
шейх,,стачка
мюсюлманин,,мъртъв
Мохамед,,насилие
,,битка
,,смърт
,,сила
,,твърдина
,,останки от пожар
,,агресия
,,клане
,,изпълни
,,свалянето
,,пострадали
,,клане
,,отмъщение
,,пролиферация
,,милиция
,,враждебност
,,отломки
,,киселина
,,екзекуция
,,войнствен
,,ракета
,,партизанин
,,жертват
,,враг
,,войник
,,терорист
,,ракета
,,враждебен
,,революция
,,съпротивление
,,фотосесия
