Islam,Cristianisme,paraules naturals
allah,bateig,terror
ramadà,messies,terrorisme
turbant,catolicisme,violència
emir,resurrecció,atac
salaam,cristianisme,mort
sunni,salvació,militar
Coran,protestant,guerra
imam,evangeli,radical
sultà,Trinitat,lesions
profeta,jesus,bomba
vel,crist,objectiu
ayatollah,cristià,conflicte
xiïta,creu,perillós
mesquita,catòlic,matar
islam,Església,assassinat
xeic,,colpejar
musulmà,,mort
mahoma,,violència
,,lluitar
,,mort
,,força
,,fortalesa
,,naufragi
,,agressió
,,matança
,,executar
,,derrocament
,,baixes
,,massacre
,,represàlies
,,proliferació
,,milícia
,,hostilitat
,,restes
,,àcid
,,execució
,,militant
,,coet
,,guerrilla
,,sacrifici
,,enemic
,,soldat
,,terrorista
,,míssil
,,hostil
,,revolució
,,resistència
,,disparar
