islam,kršćanstvo,naturalwords
Alah,krštenje,teror
Ramazan,Mesija,terorizam
turban,katolicizam,nasilje
emir,uskrsnuće,napad
pozdraviti selamom,kršćanstvo,smrt
Sunni,spasenje,vojni
Kuran,protestant,rat
imam,Gospel,radikal
sultan,trojstvo,ozljede
prorok,Isus,bomba
veo,Krist,cilj
ajatolah,christian,sukob
član jedne od grana muslimanske vjere,križ,opasno
džamija,katolički,ubiti
islam,crkva,ubiti
šeik,,štrajk
Musliman,,mrtav
Muhammed,,nasilje
,,borba
,,smrt
,,sila
,,uporište
,,olupina
,,agresija
,,klanje
,,izvršiti
,,svrgnuti
,,gubici
,,masakr
,,osveta
,,proliferacija
,,milicija
,,neprijateljstvo
,,krhotine
,,kiselina
,,izvršenje
,,militantan
,,raketa
,,gerilski
,,žrtva
,,neprijatelj
,,vojnik
,,terorista
,,raketa
,,neprijateljski
,,revolucija
,,otpornost
,,pucati
