islám,křesťanství,naturalwords
Alláh,křest,teror
ramadán,Mesiáš,terorismus
turban,Katolicismus,násilí
emir,vzkříšení,Záchvat
salám,křesťanství,smrt
sunni,spása,vojenský
korán,protestant,válka
imám,evangelium,radikální
sultán,Trojice,zranění
prorok,Ježíš,bombardovat
závoj,Kristus,cílová
ayatollah,křesťan,konflikt
šíit,přejít,nebezpečný
mešita,katolík,zabít
islám,kostel,vražda
šejk,,stávkovat
muslimský,,mrtvý
Muhammad,,násilí
,,prát se
,,smrt
,,platnost
,,pevnost
,,trosky
,,agrese
,,porážka
,,vykonat
,,svržení
,,ztráty
,,masakr
,,odplata
,,proliferace
,,milice
,,nepřátelství
,,trosky
,,kyselina
,,provedení
,,militantní
,,raketa
,,partyzán
,,oběť
,,nepřítel
,,voják
,,terorista
,,střela
,,nepřátelský
,,revoluce
,,odpor
,,střílet
