islam,Kristendom,naturalwords
allah,dåb,terror
ramadanen,messias,terrorisme
turban,katolicismen,vold
emir,opstandelse,angreb
salaam,Kristendom,død
sunni,frelse,militær
koran,protestantiske,krig
imam,evangelium,radikal
sultan,treenighed,skader
profet,jesus,bombe
slør,Kristus,mål
ayatollah,kristen,konflikt
shiitiske,kryds,farligt
moske,katolsk,dræbe
islam,kirke,mord
sheik,,strejke
muslim,,død
muhammad,,vold
,,kæmpe
,,død
,,kraft
,,højborg
,,vraggods
,,aggression
,,slagte
,,udføre
,,styrte
,,tilskadekomne
,,massakre
,,repressalier
,,proliferation
,,milits
,,fjendtlighed
,,vragrester
,,syre
,,udførelse
,,militant
,,raket
,,guerilla
,,ofre
,,fjende
,,soldat
,,terrorist
,,missil
,,fjendtlig
,,revolution
,,modstand
,,skyde
