Islam,Christendom,naturalwords
Allah,doop,terreur
Ramadan,Messias,terrorisme
tulband,katholicisme,geweld
emir,verrijzenis,aanval
salaam,Christendom,dood
sunni,redding,leger
Koran,Protestant,oorlog
imam,Evangelie,radicaal
sultan,drieëenheid,verwondingen
profeet,Jezus,bom
sluier,Christus,doelwit
ayatollah,Christelijk,conflict
shiite,kruis,gevaarlijk
moskee,Katholiek,doden
Islam,kerk,moord
sjeik,,staking
moslim,,dood
Mohammed,,geweld
,,strijd
,,dood
,,dwingen
,,bolwerk
,,wrakstukken
,,agressie
,,slachten
,,uitvoeren
,,omverwerping
,,doden en gewonden
,,bloedbad
,,wraak
,,proliferatie
,,militie
,,vijandigheid
,,puin
,,zuur
,,executie
,,strijdbaar
,,raket
,,guerrilla
,,offer
,,vijand
,,soldaat
,,terrorist
,,raket
,,vijandig
,,revolutie
,,weerstand
,,schieten
