Islam,Christianity,naturalwords
allah,baptism,terror
 ramadan, messiah,terrorism
 turban, catholicism,violence
 emir, resurrection,attack
 salaam, christianity,death
 sunni, salvation,military
 koran, protestant,war
 imam, gospel,radical
 sultan, trinity,injuries
 prophet,jesus,bomb
 veil, christ,target
 ayatollah, christian,conflict
 shiite, cross,dangerous
mosque, catholic,kill
 islam, church,murder
 sheik,,strike
 muslim,,dead
 muhammad,,violence
,,fight
,,death
,,force
,,stronghold
,,wreckage
,,aggression
,,slaughter
,,execute
,,overthrow
,,casualties
,,massacre
,,retaliation
,,proliferation
,,militia
,,hostility
,,debris
,,acid
,,execution
,,militant
,,rocket
,,guerrilla
,,sacrifice
,,enemy
,,soldier
,,terrorist
,,missile
,,hostile
,,revolution
,,resistance
,,shoot
