Islam,Kristlus,loodussõnad
allah,ristimine,terror
ramadan,messia,terrorism
turban,katoliiklus,vägivald
emir,ülestõusmine,rünnak
salaam,kristlus,surm
sunniidid,pääste,sõjaväelased
koraan,protestant,sõda
imaam,kirikulaul,radikaalne
sultan,kolmainsus,vigastused
prohvet,jeesus,pomm
loor,Kristus,sihtmärk
ajatolla,kristlane,konflikt
shiite,rist,ohtlik
mošee,katoliku,tappa
islam,kirik,mõrv
sheik,,streikima
moslem,,surnud
muhammad,,vägivald
,,võitlema
,,surm
,,jõud
,,linnus
,,rusud
,,agressioon
,,tapmine
,,täitma
,,kukutama
,,inimohvreid
,,veresaun
,,kättemaksu
,,levik
,,miilits
,,vaenulikkus
,,praht
,,hape
,,hukkamine
,,sõjakas
,,rakett
,,sissi
,,ohverdamine
,,vaenlane
,,sõdur
,,terrorist
,,rakett
,,vaenulik
,,revolutsioon
,,vastupanu
,,tulistama
