Islam,Christentum,naturalwords
Allah,Taufe,Terror
Ramadan,Messias,Terrorismus
Turban,Katholizismus,Gewalt
Emir,Auferstehung,Attacke
salaam,Christentum,Tod
sunnitisch,Heil,Militär-
Koran,evangelisch,Krieg
Imam,Evangelium,Radikale
Sultan,Dreieinigkeit,Verletzungen
Prophet,Jesus,Bombe
Schleier,Christus,Ziel
Ajatollah,Christian,Konflikt
schiitisch,Kreuz,gefährlich
Moschee,katholisch,töten
Islam,Kirche,Mord
Scheich,,Streik
Muslim,,tot
Muhammad,,Gewalt
,,Kampf
,,Tod
,,Macht
,,Hochburg
,,Trümmer
,,Aggression
,,schlachten
,,ausführen
,,Sturz
,,Verluste
,,Massaker
,,Vergeltung
,,Proliferation
,,Miliz
,,Feindseligkeit
,,Trümmer
,,Acid
,,Ausführung
,,militant
,,Rakete
,,Guerilla
,,Opfern
,,Feind
,,Soldat
,,Terrorist
,,Rakete
,,feindlich
,,Revolution
,,Widerstand
,,schießen
