Ισλάμ,χριστιανισμός,φυσικές λέξεις
Αλλάχ,βάπτισμα,τρόμος
Ραμαζάνι,Μεσσίας,τρομοκρατία
τουρμπάνι,καθολικισμός,βία
εμίρης,ανάσταση,επίθεση
υποκλίνομαι βαθειά,χριστιανισμός,θάνατος
sunni,σωτηρία,Στρατός
Κοράνι,προτεστάντης,πόλεμος
ιμάμ,Ευαγγέλιο,ριζικό
σουλτάνος,τριάδα,τραυματισμοί
προφήτης,Ιησούς,βόμβα
βέλο,Χριστός,στόχος
ayatollah,Χριστιανός,σύγκρουση
shiite,διασχίζω,επικίνδυνος
τζαμί,καθολικός,σκοτώνω
Ισλάμ,Εκκλησία,δολοφονία
σέιχης,,απεργία
μουσουλμάνος,,νεκρός
Μωάμεθ,,βία
,,πάλη
,,θάνατος
,,δύναμη
,,οχυρό
,,καταστροφή
,,επίθεση
,,σφαγή
,,εκτέλεση
,,ανατροπή
,,θύματα
,,σφαγή
,,αντίποινα
,,πολλαπλασιασμός
,,πολιτοφυλακή
,,εχθρότητα
,,συντρίμμια
,,οξύ
,,εκτέλεση
,,μαχητικός
,,ρουκέτα
,,ανταρτοπόλεμος
,,θυσία
,,εχθρός
,,στρατιώτης
,,τρομοκράτης
,,βλήμα
,,εχθρικός
,,επανάσταση
,,αντίσταση
,,βλαστός
