इसलाम,ईसाई धर्म,naturalwords
अल्लाह,बपतिस्मा,आतंक
रमजान,मसीहा,आतंक
पगड़ी,रोमन कैथोलिक ईसाई,हिंसा
अमीर,जी उठने,हमला
सलाम,ईसाई धर्म,मौत
सुन्नी,मोक्ष,सैन्य
कुरान,प्रतिवाद करनेवाला,युद्ध
ईमाम,सुसमाचार,उग्र
सुलतान,त्रिमूर्ति,चोटों
नबी,यीशु,बम
आवरण,ईसा मसीह,लक्ष्य
अयातुल्ला,ईसाई,संघर्ष
शिया,पार करना,खतरनाक
मस्जिद,कैथोलिक,मार
इसलाम,चर्च,हत्या
शेख़,,हड़ताल
मुसलमान,,मृत
मुहम्मद,,हिंसा
,,लड़ाई
,,मौत
,,बल
,,गढ़
,,मलबे
,,आक्रमण
,,वध
,,निष्पादित
,,को उखाड़ फेंकने के
,,हताहतों की संख्या
,,नरसंहार
,,प्रतिशोध
,,प्रसार
,,मिलिशिया
,,शत्रुता
,,मलबा
,,अम्ल
,,क्रियान्वयन
,,उग्रवादी
,,राकेट
,,गुरिल्ला
,,त्याग
,,दुश्मन
,,फोजी
,,आतंकवादी
,,मिसाइल
,,शत्रुतापूर्ण
,,क्रांति
,,प्रतिरोध
,,गोली मार
