iszlám,kereszténység,naturalwords
Allah,keresztség,terror
ramadan,Messiás,terrorizmus
turbán,katolicizmus,erőszak
emír,feltámadás,támadás
üdvözöl,kereszténység,halál
sunni,megváltás,katonai
Korán,protestáns,háború
imám,evangélium,radikális
szultán,Szentháromság,sérülések
próféta,Jézus,bomba
fátyol,Krisztus,cél
ajatollah,keresztény,összeütközés
síita,kereszt,veszélyes
mecset,katolikus,megöl
iszlám,templom,gyilkosság
sejk,,sztrájk
muszlim,,halott
muhammad,,erőszak
,,harc
,,halál
,,Kényszerítés
,,erőd
,,roncs
,,agresszió
,,levágás
,,kivégez
,,megdönteni
,,veszteség
,,mészárlás
,,megtorlás
,,proliferáció
,,milícia
,,ellenségeskedés
,,törmelék
,,sav
,,végrehajtás
,,harcos
,,rakéta
,,gerilla
,,áldozat
,,ellenség
,,katona
,,terrorista
,,rakéta
,,ellenséges
,,forradalom
,,ellenállás
,,lő
