Islam,cristianesimo,naturalwords
Allah,battesimo,terrore
Ramadan,Messia,terrorismo
turbante,cattolicesimo,violenza
emiro,risurrezione,attacco
salamelecco,cristianesimo,Morte
sunni,salvezza,militare
Corano,protestante,guerra
imano,vangelo,radicale
sultano,Trinità,lesioni
profeta,Gesù,bomba
velo,Cristo,bersaglio
ayatollah,cristiano,conflitto
sciita,attraversare,pericoloso
moschea,cattolico,uccidere
Islam,Chiesa,omicidio
sceicco,,sciopero
musulmano,,morto
Maometto,,violenza
,,combattimento
,,Morte
,,vigore
,,roccaforte
,,relitto
,,aggressione
,,macello
,,eseguire
,,rovesciare
,,vittime
,,massacro
,,ritorsione
,,proliferazione
,,milizia
,,ostilità
,,detriti
,,acido
,,esecuzione
,,militante
,,razzo
,,guerriglia
,,sacrificio
,,nemico
,,soldato
,,terrorista
,,missile
,,ostile
,,rivoluzione
,,resistenza
,,sparare
