Islāms,Kristietība,dabas vārdi
Allāhs,kristības,terors
ramadāns,mesija,terorisms
turbāns,katoļisms,vardarbība
emir,augšāmcelšanās,uzbrukums
salaam,kristietība,nāve
sunnīti,pestīšana,militārā
Korāns,protestants,karš
imams,evaņģēlijs,radikāls
sultāns,trīsvienība,ievainojumi
pravietis,Jēzus,bumba
plīvurs,Kristus,mērķis
ajatolla,kristietis,konflikts
shiite,krustu,bīstams
mošeja,katoļu,nogalināt
islāms,baznīca,slepkavība
šeik,,streikot
musulmanis,,miris
muhameds,,vardarbība
,,cīņa
,,nāve
,,spēks
,,cietoksnis
,,vraki
,,agresija
,,kaušana
,,izpildīt
,,gāzt
,,zaudējumi
,,slaktiņš
,,atriebība
,,izplatīšana
,,milicija
,,naidīgums
,,gruveši
,,skābe
,,izpildīšana
,,kareivīgs
,,raķete
,,partizāns
,,upurēšana
,,ienaidnieks
,,kareivis
,,terorists
,,raķete
,,naidīgi
,,revolūcija
,,pretestība
,,šaut
