Islamas,Krikščionybė,natūralūs žodžiai
Allahas,krikštas,teroras
ramadanas,mesijas,terorizmas
turbanas,katalikybė,prievarta
emyras,prisikėlimas,puolimas
salaam,krikščionybė,mirtis
sunitai,išganymas,karinės
Koranas,protestantas,karas
imamas,Evangelija,radikalus
sultonas,trejybė,traumos
pranašas,Jėzus,bomba
šydas,Kristus,taikinys
ajatola,krikščionis,konfliktas
šiitas,kirsti,pavojinga
mečetė,katalikų,nužudyti
islamas,bažnyčia,nužudymas
šeikas,,streikuoti
musulmonas,,miręs
muhamedas,,prievarta
,,muštis
,,mirtis
,,jėga
,,tvirtovė
,,nuolaužos
,,agresija
,,skerdimas
,,vykdyti
,,nuversti
,,nuostoliai
,,žudynės
,,keršto
,,paplitimas
,,milicija
,,priešiškumas
,,šiukšles
,,rūgšties
,,egzekucija
,,karingas
,,raketa
,,partizanas
,,pasiaukojimas
,,priešas
,,kareivis
,,teroristas
,,raketa
,,priešiškai
,,revoliucija
,,pasipriešinimas
,,šaudyti
