islam,kristendommen,naturalwords
allah,dåp,skrekk
ramadan,Messias,terrorisme
turban,katolisismen,vold
emir,oppstandelse,angrep
salaam,kristendom,død
Sunni,frelse,militær
Koranen,protestantisk,krig
imam,evangelium,radikal
sultan,treenighet,skader
profet,jesus,bombe
slør,Kristus,mål
ayatollah,Kristen,konflikt
sjia,kryss,farlig
moské,katolikk,drepe
islam,kirke,mord
sheik,,streik
muslim,,død
Muhammad,,vold
,,slåss
,,død
,,makt
,,fort
,,vraket
,,aggresjon
,,slakte
,,henrette
,,styrte
,,tap
,,massakre
,,hevn
,,spredning
,,milits
,,fiendtlighet
,,rester
,,syre
,,henrettelse
,,militant
,,rakett
,,gerilja
,,ofre
,,fiende
,,soldat
,,terrorist
,,rakett
,,fiendtlig
,,revolusjon
,,motstand
,,skyte
