اسلام,مسیحیت,کلمات طبیعی
خدا,غسل تعمید,ترور
رمضان,مسیح,تروریسم
دستار,کاتولیک,خشونت
امیر,معاد,حمله
سلام,مسیحیت,مرگ
اهل سنت,نجات,نظامی
قرآن,معترض,جنگ
امام,انجیل,افراطی
سلطان,تثلیث,صدمات
نبی - پیامبر,عیسی,بمب
حجاب,مسیح,هدف
آیت الله,مسیحی,تعارض
شیعه,صلیب,خطرناک
مسجد,کاتولیک,کشتن
اسلام,کلیسا,قتل
شیخ,,ضربه
مسلمان,,مرده
محمد,,خشونت
,,مبارزه کردن
,,مرگ
,,زور
,,سنگر
,,خراب کردن
,,پرخاشگری
,,ذبح کردن
,,اجرا کردن
,,سرنگونی
,,تلفات
,,قتل عام
,,قصاص
,,افزایش
,,شبه نظامی
,,دشمنی
,,آوار
,,اسید
,,اعدام
,,ستیزه جو
,,موشک
,,چریکی
,,قربانی
,,دشمن
,,سرباز
,,تروریستی
,,موشک
,,خصومت آمیز
,,انقلاب
,,مقاومت
,,شلیک
