islam,chrześcijaństwo,naturalne słowa
allah,chrzest,terror
ramadan,Mesjasz,terroryzm
turban,katolicyzm,przemoc
emir,zmartwychwstanie,atak
salaam,chrześcijaństwo,śmierć
sunnici,zbawienie,wojskowy
Koran,protestant,wojna
imam,ewangelia,rodnik
sułtan,trójca,obrażenia
prorok,Jezus,bomba
welon,Chrystus,cel
ajatollah,chrześcijanin,konflikt
szyita,krzyż,niebezpieczny
Meczet,katolicki,zabić
islam,kościół,morderstwo
szejk,,strajk
muzułmański,,nie żyje
Mahomet,,przemoc
,,walka
,,śmierć
,,siła
,,twierdza
,,wrak
,,agresja
,,ubój
,,wykonać
,,obalenie
,,ofiary wypadku
,,masakra
,,odwet
,,proliferacja
,,milicja
,,wrogość
,,gruzy
,,kwas
,,wykonanie
,,wojowniczy
,,rakieta
,,partyzant
,,poświęcać się
,,wróg
,,żołnierz
,,terrorysta
,,pocisk
,,wrogi
,,rewolucja
,,odporność
,,strzelać
