islamismo,cristandade,naturalwords
Alá,batismo,terror
Ramadã,messias,terrorismo
turbante,catolicismo,violência
emir,ressurreição,ataque
salaam,cristandade,morte
sunita,salvação,militares
Alcorão,protestante,guerra
imam,Evangelho,radical
sultão,trindade,lesões
profeta,Jesus,bombear
véu,Cristo,alvo
aiatolá,cristão,conflito
shiite,Cruz,perigoso
mesquita,católico,mate
islamismo,Igreja,assassinato
xeque,,greve
muçulmano,,morto
Maomé,,violência
,,luta
,,morte
,,força
,,fortaleza
,,destroços
,,agressão
,,abate
,,executar
,,derrubar
,,baixas
,,massacre
,,retaliação
,,proliferação
,,milícia
,,hostilidade
,,detritos
,,ácido
,,execução
,,militante
,,foguete
,,guerrilha
,,sacrifício
,,inimigo
,,soldado
,,terrorista
,,míssil
,,hostil
,,revolução
,,resistência
,,tiro
