islam,creştinism,naturalwords
allah,botez,teroare
Ramadanului,Mesia,terorism
turban,catolicism,violenţă
emir,Înviere,atac
temenea,creştinism,moarte
Sunni,salvare,militar
Coran,protestant,război
Imam,Evanghelie,radical
sultan,Treime,leziuni
profet,Iisus,bombă
voal,Hristos,ţintă
Ayatollah,creştin,conflict
șiit,cruce,periculos
moschee,catolic,ucide
islam,biserică,crimă
șeic,,grevă
Muslim,,mort
muhammad,,violenţă
,,luptă
,,moarte
,,forta
,,bastion
,,dărâmături
,,agresiune
,,măcel
,,a executa
,,răsturna
,,victime
,,masacru
,,represalii
,,proliferare
,,miliţie
,,ostilitate
,,resturi
,,acid
,,execuţie
,,militant
,,rachetă
,,gherila
,,sacrificiu
,,dusman
,,soldat
,,terorist
,,rachetă
,,ostil
,,revoluţie
,,rezistenţă
,,trage
