ислам,христианство,naturalwords
Аллах,крещение,террор
рамадан,мессия,терроризм
тюрбан,католицизм,насилие
эмир,воскрешение,атака
селям,христианство,смерть
суннит,спасение,военные
Коран,протестант,война
имам,евангелие,радикал
султан,Троица,травмы
пророк,Иисус,бомбить
вуаль,Христос,цель
аятолла,Кристиан,конфликт
шиит,пересекать,опасно
мечеть,католик,убийство
ислам,церковь,убийство
шейх,,забастовка
мусульманка,,мертвых
Магомет,,насилие
,,борьба
,,смерть
,,сила
,,крепость
,,обломки судна
,,агрессия
,,убой скота
,,выполнять
,,опрокинуть
,,жертвы
,,бойня
,,воздаяние
,,пролиферация
,,милиция
,,враждебность
,,мусор
,,кислота
,,выполнение
,,воинствующий
,,ракета
,,партизанский
,,жертва
,,враг
,,солдат
,,террорист
,,ракета
,,враждебный
,,революция
,,сопротивление
,,стрелять
