Ислам,Хришћанство,натуралвордс
аллах,крштење,терор
рамадан,Месија,тероризам
турбан,католицизам,насиље
емир,васкрсење,напад
салаам,хришћанство,смрт
сунни,спасење,војна
коран,протестант,рата
имам,Госпел,радикалан
султан,тројство,повреде
пророк,јесус,бомба
вео,цхрист,таргет
аиатоллах,хришћанин,сукоб
схиите,крст,опасно
џамија,католички,убити
ислам,црква,убиство
шеик,,ударац
муслиман,,мртав
мухаммад,,насиље
,,борити се
,,смрт
,,сила
,,упориште
,,олупина
,,агресија
,,клања
,,извршити
,,свргнути
,,жртава
,,масакр
,,одмазда
,,ширење
,,милиција
,,непријатељство
,,рушевине
,,киселина
,,извршење
,,милитантно
,,ракета
,,герилска
,,жртвовање
,,непријатеља
,,војник
,,терористички
,,пројектил
,,непријатељски
,,револуција
,,отпор
,,Пуцај
