islam,kresťanstvo,naturalwords
Alah,krst,hrôza
ramadan,Mesiáš,terorizmus
turban,katolicizmus,násilia
emir,vzkriesenie,útok
pozdraviť,kresťanstvo,úmrtia
Sunny,spása,vojenský
korán,protestant,vojna
imám,evanjelium,radikálnej
sultán,trojica,zranenia
prorok,Ježiš,bomba
závoj,Kristus,terč
ajatolláh,kresťan,konflikt
siitsky,cross,nebezpečný
mešita,katolícky,kill
islam,cirkevné,vražda
šejk,,štrajk
moslim,,mŕtvi
Mohamed,,násilia
,,boj
,,úmrtia
,,sila
,,pevnosť
,,vrak
,,agresie
,,porážka
,,popraviť
,,zvrhnutie
,,straty
,,masaker
,,odplata
,,proliferácia
,,milície
,,nepriateľstvo
,,trosky
,,kyselina
,,poprava
,,militantné
,,raketa
,,partizán
,,obetovať
,,nepriateľ
,,vojak
,,terorista
,,strela
,,nepriateľský
,,revolúcia
,,odpor
,,shoot
