islam,cristiandad,palabras naturales
Alá,bautismo,terror
Ramadán,Mesías,terrorismo
turbante,catolicismo,violencia
emir,Resurrección,ataque
zalema,cristiandad,muerte
sunita,salvación,militar
Corán,protestante,guerra
imán,evangelio,radical
sultán,trinidad,heridas
profeta,Jesús,bomba
velo,Cristo,objetivo
ayatollah,cristiano,conflicto
chiíta,cruzar,peligroso
mezquita,católico,matar
islam,Iglesia,asesinato
jeque,,Huelga
musulmán,,muerto
Mahoma,,violencia
,,lucha
,,muerte
,,fuerza
,,fortaleza
,,destrucción
,,agresión
,,sacrificio
,,ejecutar
,,derrocamiento
,,damnificados
,,masacre
,,represalias
,,proliferación
,,milicia
,,hostilidad
,,escombros
,,ácido
,,ejecución
,,militante
,,cohete
,,guerrilla
,,sacrificio
,,enemigo
,,soldado
,,terrorista
,,misil
,,hostil
,,revolución
,,resistencia
,,disparar
