islam,kristendom,naturalwords
allah,dop,skräck
ramadan,messiah,terrorism
turban,katolicism,våld
emir,uppståndelse,ge sig på
salam,kristendomen,död
sunni,frälsning,militär
koranen,protestant,krig
imam,evangeliet,radikal
sultan,trinity,skador
profet,Jesus,bomba
slöja,christ,mål
ayatollah,kristen,konflikt
shiite,korsa,farlig
moské,katolik,döda
islam,kyrka,mörda
schejk,,strejk
muslim,,död-
muhammad,,våld
,,bekämpa
,,död
,,tvinga
,,fäste
,,haveri
,,aggression
,,slakt
,,Kör
,,störta
,,förluster
,,massaker
,,hämnd
,,spridning
,,milis
,,fientlighet
,,skräp
,,syra
,,avrättning
,,militant
,,raket
,,gerilla
,,offra
,,fiende
,,soldat
,,terrorist
,,missil
,,fientlig
,,rotation
,,motstånd
,,skjuta
