ศาสนาอิสลาม,ศาสนาคริสต์,naturalwords
อัลเลาะห์,การล้างบาป,ความหวาดกลัว
เดือนรอมฎอน,พระคริสต์,ลัทธิก่อการร้าย
ผ้าโพกศีรษะ,ศาสนาคริสต์นิกายโรมันคาทอลิก,ความรุนแรง
เจ้าชายอาหรับ,การคืนชีพ,โจมตี
การแสดงความเคารพ,ศาสนาคริสต์,ความตาย
สุหนี่,นฤพาน,ทหาร
คัมภีร์โกหร่าน,โปรเตสแตนต์,สงคราม
อิหม่าม,พระกิตติคุณ,รุนแรง
สุลต่าน,กลุ่มที่มี 3 คน,ได้รับบาดเจ็บ
ศาสดา,พระเยซู,วางระเบิด
ผ้าคลุมหน้า,คริสต์,เป้า
Ayatollah,คริสเตียน,ขัดแย้ง
ไอท์,ข้าม,เป็นอันตราย
มัสยิด,คาทอลิก,ฆ่า
ศาสนาอิสลาม,โบสถ์,ฆาตกรรม
เจ้าอาหรับ,,โจมตี
มุสลิม,,ตาย
มูฮัมหมัด,,ความรุนแรง
,,สู้
,,ความตาย
,,บังคับ
,,ที่มั่น
,,ซากปรักหักพัง
,,การรุกราน
,,ฆ่า
,,ปฏิบัติ
,,ปลดจากตำแหน่ง
,,จำนวนผู้เสียชีวิต
,,การสังหารหมู่
,,การตอบโต้
,,การงอก
,,กองทหารอาสาสมัคร
,,ความเป็นปรปักษ์
,,เศษ
,,กรด
,,การกระทำ
,,แข็งข้อ
,,จรวด
,,กองโจร
,,เสียสละ
,,ศัตรู
,,ทหาร
,,ผู้ก่อการร้าย
,,ขีปนาวุธ
,,ไม่เป็นมิตร
,,การปฏิวัติ
,,ความต้านทาน
,,ยิง
