İslâm,Hristiyanlık,naturalwords
Allah,vaftiz,terör
Ramazan,Mesih,terörizm
türban,katoliklik,şiddet
emir,diriliş,saldırı
selam,Hristiyanlık,ölüm
Sünni,kurtuluş,askeri
Kuran,Protestan,savaş
cami hocası,Müjde,radikal
sultan,üçlü,yaralanmalar
peygamber,isa,bomba
duvak,İsa,hedef
ayetullah,Hristiyan,fikir ayrılığı
Şii,çapraz,tehlikeli
cami,liberal,öldürmek
İslâm,kilise,cinayet
şeyh,,vuruş
Müslüman,,ölü
muhammed,,şiddet
,,kavga
,,ölüm
,,güç
,,kale
,,enkaz
,,saldırganlık
,,Katliam
,,gerçekleştirmek
,,devirmek
,,kayıplar
,,katliam
,,misilleme
,,çoğalma
,,milis
,,düşmanlık
,,enkaz
,,asit
,,icra
,,militan
,,roket
,,gerilla
,,kurban
,,düşman
,,asker
,,terörist
,,füze
,,hasım
,,devrim
,,direnç
,,ateş etmek
