Іслам,Християнство,природні слова
Аллах,хрещення,терор
рамадан,месія,тероризм
тюрбан,католицизм,насильство
емір,воскресіння,напад
салам,християнство,смерть
sunni,порятунок,військові
коран,протестант,війни
імам,євангеліє,радикальний
султан,трійця,травми
пророк,Ісус,бомба
вуаль,Христос,цільовий
аятола,християнський,конфлікт
шиїт,хрест,небезпечний
мечеть,католицький,вбити
іслам,церква,вбивство
шейх,,страйк
мусульманський,,мертвий
Мухаммед,,насильство
,,боротися
,,смерть
,,сила
,,твердиня
,,уламки
,,агресія
,,забій
,,виконати
,,повалення
,,жертв
,,різанина
,,помста
,,розповсюдження
,,ополчення
,,неприязнь
,,сміття
,,кислота
,,виконання
,,войовничий
,,ракета
,,партизанський
,,жертва
,,ворог
,,солдат
,,терористичний
,,ракета
,,ворожий
,,революція
,,опір
,,стріляти
